GEOIDFQ,GEOID,SUMLEVEL,GEOTYPE,NAME,SOURCE,STATEFP,COUNTYFP,COUSUBFP,PLACEFP,TRACTCE,CLASSFP,MUNITYPE,PLACECOMBO
M240000US3957862,3957862,M24,JURIS-MORPC,Obetz,MORPC,39,,,57862,,,City,
M240000US3957918,3957918,M24,JURIS-MORPC,Octa,MORPC,39,,,57918,,,Village,
M240000US3958940,3958940,M24,JURIS-MORPC,Ostrander,MORPC,39,,,58940,,,Village,
M240000US3961112,3961112,M24,JURIS-MORPC,Pataskala,MORPC,39,,,61112,,,City,
M240000US3962498,3962498,M24,JURIS-MORPC,Pickerington,MORPC,39,,,62498,,,City,
M240000US3963030,3963030,M24,JURIS-MORPC,Plain City,MORPC,39,,,63030,,,Village,
M240000US3963716,3963716,M24,JURIS-MORPC,Pleasantville,MORPC,39,,,63716,,,Village,
M240000US3964486,3964486,M24,JURIS-MORPC,Powell,MORPC,39,,,64486,,,City,
M240000US3964780,3964780,M24,JURIS-MORPC,Prospect,MORPC,39,,,64780,,,Village,
M240000US3965200,3965200,M24,JURIS-MORPC,Quincy,MORPC,39,,,65200,,,Village,
M240000US3966222,3966222,M24,JURIS-MORPC,Rendville,MORPC,39,,,66222,,,Village,
M240000US3966390,3966390,M24,JURIS-MORPC,Reynoldsburg,MORPC,39,,,66390,,,City,
M240000US3966936,3966936,M24,JURIS-MORPC,Richwood,MORPC,39,,,66936,,,Village,
M240000US3967118,3967118,M24,JURIS-MORPC,Ridgeway,MORPC,39,,,67118,,,Village,
M240000US3967440,3967440,M24,JURIS-MORPC,Riverlea,MORPC,39,,,67440,,,Village,
M240000US3968560,3968560,M24,JURIS-MORPC,Roseville,MORPC,39,,,68560,,,Village,
M240000US3969176,3969176,M24,JURIS-MORPC,Rushsylvania,MORPC,39,,,69176,,,Village,
M240000US3969204,3969204,M24,JURIS-MORPC,Rushville,MORPC,39,,,69204,,,Village,
M240000US3969302,3969302,M24,JURIS-MORPC,Russells Point,MORPC,39,,,69302,,,Village,
M240000US3969652,3969652,M24,JURIS-MORPC,St. Louisville,MORPC,39,,,69652,,,Village,
M240000US3971962,3971962,M24,JURIS-MORPC,Shawnee,MORPC,39,,,71962,,,Village,
M240000US3971976,3971976,M24,JURIS-MORPC,Shawnee Hills,MORPC,39,,,71976,,,Village,
M240000US3972977,3972977,M24,JURIS-MORPC,Somerset,MORPC,39,,,72977,,,Village,
M240000US3973068,3973068,M24,JURIS-MORPC,South Bloomfield,MORPC,39,,,73068,,,Village,
M240000US3973698,3973698,M24,JURIS-MORPC,South Salem,MORPC,39,,,73698,,,Village,
M240000US3973768,3973768,M24,JURIS-MORPC,South Solon,MORPC,39,,,73768,,,Village,
M240000US3973950,3973950,M24,JURIS-MORPC,Sparta,MORPC,39,,,73950,,,Village,
M240000US3974916,3974916,M24,JURIS-MORPC,Stoutsville,MORPC,39,,,74916,,,Village,
M240000US3975252,3975252,M24,JURIS-MORPC,Sugar Grove,MORPC,39,,,75252,,,Village,
M240000US3975602,3975602,M24,JURIS-MORPC,Sunbury,MORPC,39,,,75602,,,City,
M240000US3976148,3976148,M24,JURIS-MORPC,Tarlton,MORPC,39,,,76148,,,Village,
M240000US3976680,3976680,M24,JURIS-MORPC,Thornville,MORPC,39,,,76680,,,Village,
M240000US3976764,3976764,M24,JURIS-MORPC,Thurston,MORPC,39,,,76764,,,Village,
M240000US3978834,3978834,M24,JURIS-MORPC,Unionville Center,MORPC,39,,,78834,,,Village,
M240000US3979002,3979002,M24,JURIS-MORPC,Upper Arlington,MORPC,39,,,79002,,,City,
